movie_id,genre_id
1,6
1,5
2,8
2,26
3,2
3,8
3,25
4,1
4,6
4,8
5,1
5,6
5,8
6,6
6,8
6,24
7,6
7,8
7,24
8,5
8,8
9,8
9,24
10,6
10,8
10,17
11,1
11,2
11,8
12,1
12,8
12,21
13,8
13,5
14,5
14,8
15,8
15,2
15,1
16,8
16,20
17,8
18,17
18,24
18,8
19,8
19,25
20,14
20,8
21,2
21,8
21,25
22,6
22,21
23,2
23,21
24,5
24,25
25,6
25,8
25,20
25,20
25,20
26,8
26,25
27,2
27,4
27,8
28,6
28,8
28,24
29,6
29,8
29,24
30,5
30,6
31,6
31,8
31,24
32,6
32,8
33,8
33,5
34,8
34,5
34,6
35,5
35,6
36,5
36,6
36,8
37,4
37,8
38,5
38,8
38,15
39,2
39,5
39,8
40,8
41,8
42,8
42,6
42,20
43,4
43,8
43,4
44,5
45,5
45,20
46,5
47,5
47,8
48,8
48,24
49,5
49,8
50,8
50,20
50,24
51,2
51,8
51,13
52,8
53,6
53,8
53,14
54,8
54,21
55,5
56,5
57,10
57,8
57,13
58,4
58,8
58,20
59,8
59,13
59,24
60,8
61,8
61,24
62,8
62,22
63,17
63,20
63,8
64,8
64,14
64,17
65,7
66,8
66,4
66,6
67,8
67,13
68,5
68,4
68,6
69,8
69,2
69,9
70,7
70,4
70,15
71,7
72,17
72,24
73,15
73,4
73,7
74,6
74,8
74,24
75,4
75,8
76,8
76,6
77,7
78,5
78,6
78,8
79,8
79,6
80,4
80,15
80,7
81,8
81,5
81,13
82,8
82,15
82,16
82,20
83,8
83,14
83,17
84,15
84,8
85,14
85,17
85,21
86,14
86,17
86,24
87,17
87,24
87,14
88,8
88,20
89,20
89,20
90,21
90,20
90,8
91,5
91,8
92,10
92,14
92,17
